Prime,Ratio
2,0.5
3,0.16666666666666666
5,0.06666666666666668
7,0.038095238095238106
11,0.020779220779220783
13,0.015984015984015987
17,0.01128283481224658
19,0.009501334578733962
23,0.007435827061617883
29,0.0056409722536411525
31,0.005095071712966202
37,0.004131139226729354
41,0.003627341760055042
43,0.0033742714047023644
47,0.0030153063616489215
53,0.0026170583516198186
59,0.0023065599031225517
61,0.002193122530837836
67,0.001963990326123435
71,0.0018256811482274186
73,0.001750653155834511
79,0.0015955319901276555
83,0.0014994156051802063
89,0.0013814840407278307
97,0.0012533051091139084
